uid,id,source,rank,game
303,16,"3. Viticulture Essential Edition","3","Viticulture Essential Edition"
304,16,"4. 7 Wonders Duel","4","7 Wonders Duel"
305,16,"5. Lost Cities","5","Lost Cities"
306,16,"6. Citadels","6","Citadels"
307,16,"7. The Crew: Quest for Planet Nine","7","The Crew: Quest for Planet Nine"
308,16,"8. Photosynthesis","8","Photosynthesis"
309,16,"9. Ecosystem","9","Ecosystem"
310,16,"10. Azul","10","Azul"
311,16,"11. Evolution","11","Evolution"
312,16,"12. Hnefatafl","12","Hnefatafl"
313,16,"13. The Fox in the Forest","13","The Fox in the Forest"
314,16,"14. Ticket to Ride: Nordic Countries","14","Ticket to Ride: Nordic Countries"
315,16,"15. Pandemic","15","Pandemic"
316,16,"16. Quacks of Quedlinburg","16","Quacks of Quedlinburg"
317,16,"17. Carcassonne","17","Carcassonne"
318,16,"18. Hanabi","18","Hanabi"
319,16,"19. Hanamikoji","19","Hanamikoji"
320,16,"20. Targi","20","Targi"
321,17,"1. Obsession","1","Obsession"
322,17,"2. The Castles of Burgundy","2","The Castles of Burgundy"
323,17,"3. Paladins of the West Kingdom","3","Paladins of the West Kingdom"
324,17,"4. Forest Shuffle","4","Forest Shuffle"
325,17,"5. Underwater Cities","5","Underwater Cities"
326,17,"6. Everdell","6","Everdell"
327,17,"7. Terraforming Mars","7","Terraforming Mars"
328,17,"8. Viscounts of the West Kingdom","8","Viscounts of the West Kingdom"
329,17,"9. Botanik","9","Botanik"
330,17,"10. Fish Tank","10","Fish Tank"
331,17,"11. Kōhaku","11","Kōhaku"
332,17,"12. Witchstone","12","Witchstone"
333,17,"13. Dune: Imperium","13","Dune: Imperium"
334,17,"14. The Isle of Cats","14","The Isle of Cats"
335,17,"15. Raiders of the North Sea","15","Raiders of the North Sea"
336,17,"16. Patchwork","16","Patchwork"
337,17,"17. Wingspan","17","Wingspan"
338,17,"18. Sea Salt & Paper","18","Sea Salt & Paper"
339,17,"19. My Shelfie","19","My Shelfie"
340,17,"20. Lost Ruins of Arnak","20","Lost Ruins of Arnak"
341,18,"1. Gloomhaven","1","Gloomhaven"
342,18,"2. Sail","2","Sail"
343,18,"3. Castles of Burgundy","3","Castles of Burgundy"
344,18,"4. Spirit Island","4","Spirit Island"
345,18,"5. Carcassonne","5","Carcassonne"
346,18,"6. Ark Nova","6","Ark Nova"
347,18,"7. Azul","7","Azul"
348,18,"8. Arkham Horror: The Card Game","8","Arkham Horror: The Card Game"
349,18,"9. Undaunted: Stalingrad","9","Undaunted: Stalingrad"
350,18,"10. Brass: Birmingham","10","Brass: Birmingham"
351,18,"11. Beer & Bread","11","Beer & Bread"
352,18,"12. Three Sisters","12","Three Sisters"
353,18,"13. Earthborne Rangers","13","Earthborne Rangers"
354,18,"14. Splendor Duel","14","Splendor Duel"
355,18,"15. Concordia","15","Concordia"
356,18,"16. Sherlock Holmes Consulting Detective","16","Sherlock Holmes Consulting Detective"
357,18,"17. Great Western Trail","17","Great Western Trail"
358,18,"18. 7 Wonders Duel","18","7 Wonders Duel"
359,18,"19. Alchemists","19","Alchemists"
360,18,"20. Mystic Vale","20","Mystic Vale"
361,19,"1. Cascadia","1","Cascadia"
362,19,"2. Spots","2","Spots"
363,19,"3. Carpe Diem","3","Carpe Diem"
364,19,"4. Backgammon","4","Backgammon"
365,19,"5. Cubitos","5","Cubitos"
366,19,"6. Grand Austria Hotel","6","Grand Austria Hotel"
367,19,"7. Five Tribes","7","Five Tribes"
368,19,"8. Rajas of the Ganges","8","Rajas of the Ganges"
369,19,"9. Mandala","9","Mandala"
370,19,"10. Obsession","10","Obsession"
371,19,"11. Targi","11","Targi"
372,19,"12. Quadropolis","12","Quadropolis"
373,19,"13. Splendor","13","Splendor"
374,19,"14. Habitats","14","Habitats"
375,19,"15. Walking in Burano","15","Walking in Burano"
376,19,"16. Trambahn","16","Trambahn"
377,19,"17. Nanga Parbat","17","Nanga Parbat"
378,19,"18. Azul","18","Azul"
379,19,"19. New York Zoo","19","New York Zoo"
380,19,"20. Holmes: Sherlock & Mycroft","20","Holmes: Sherlock & Mycroft"
381,20,"1. Backgammon","1","Backgammon"
382,20,"2. Schotten Totten","2","Schotten Totten"
383,20,"3. Lost Cities","3","Lost Cities"
384,20,"4. Kingdom Builder","4","Kingdom Builder"
385,20,"5. Codenames: Duet","5","Codenames: Duet"
386,20,"6. So Clover","6","So Clover"
387,20,"7. Fugitive","7","Fugitive"
388,20,"8. Sherlock Holmes Consulting Detective","8","Sherlock Holmes Consulting Detective"
389,20,"9. Ticket to Ride: Nordic Countries","9","Ticket to Ride: Nordic Countries"
390,20,"10. Welcome to...","10","Welcome to..."
391,20,"11. Can't Stop","11","Can't Stop"
392,20,"12. Haggis","12","Haggis"
393,20,"13. 7 Wonders Duel","13","7 Wonders Duel"
394,20,"14. Trails of Tucana","14","Trails of Tucana"
395,20,"15. Splendor","15","Splendor"
396,20,"16. Jaipur","16","Jaipur"
397,20,"17. Arboretum","17","Arboretum"
398,20,"18. Calavera","18","Calavera"
399,20,"19. Mindbug","19","Mindbug"
400,20,"20. Riftforce","20","Riftforce"
401,21,"1. Spirit Island","1","Spirit Island"
402,21,"2. Brass: Birmingham","2","Brass: Birmingham"
403,21,"3. A Feast for Odin","3","A Feast for Odin"
404,21,"4. Maracaibo","4","Maracaibo"
405,21,"5. Concordia","5","Concordia"
406,21,"6. Brass: Lancashire","6","Brass: Lancashire"
407,21,"7. Carnegie","7","Carnegie"
408,21,"8. The Castles of Burgundy","8","The Castles of Burgundy"
409,21,"9. Lisboa","9","Lisboa"
410,21,"10. Targi","10","Targi"
411,21,".",".","."
412,21,".",".","."
413,21,".",".","."
414,21,".",".","."
415,21,".",".","."
416,21,".",".","."
417,21,".",".","."
418,21,".",".","."
419,21,".",".","."
420,21,".",".","."
421,22,"1. Marvel Champions: The Card Game","1","Marvel Champions: The Card Game"
422,22,"2. Hanamikoji","2","Hanamikoji"
423,22,"3. Lord of the Rings: The Confrontation","3","Lord of the Rings: The Confrontation"
424,22,"4. 7 Wonders Duel","4","7 Wonders Duel"
425,22,"5. Hanabi","5","Hanabi"
426,22,"6. Hive","6","Hive"
